City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
211,birjand,32.8663,59.2211,34.26,9,20,5.14,IR,1694005032
212,xilin hot,43.9667,116.0333,23.97,31,37,2.97,CN,1694005032
213,portland,45.5234,-122.6762,12.44,91,0,0.0,US,1694004720
214,sonoita,31.85,-112.8333,25.22,31,0,1.57,MX,1694005033
215,utrik,11.2278,169.8474,28.19,75,92,3.35,MH,1694005033
216,victorica,-36.2151,-65.4359,9.07,63,100,10.16,AR,1694005033
217,tangalle,6.024,80.7911,27.09,89,100,4.1,LK,1694005033
218,namibe,-15.1961,12.1522,21.32,74,25,4.67,AO,1694004867
219,nuku'alofa,-21.1333,-175.2,19.19,94,20,2.57,TO,1694005033
220,tateyama,34.9833,139.8667,25.61,94,100,4.17,JP,1694005033
221,naracoorte,-36.9579,140.7383,13.53,47,8,6.75,AU,1694005033
222,dwarka,22.2394,68.9678,28.35,74,7,5.0,IN,1694005034
223,saint-pierre,-21.3393,55.4781,25.32,60,100,1.03,RE,1694005034
224,georgetown,5.4112,100.3354,28.97,76,20,1.54,MY,1694005034
225,maun,-19.9833,23.4167,34.98,9,0,3.6,BW,1694005034
226,muroto-misakicho,33.2833,134.15,27.06,78,18,8.47,JP,1694005034
227,kangding,30.0513,101.9603,16.0,99,91,1.9,CN,1694005034
228,chipata,-13.6333,32.65,32.25,16,0,1.81,ZM,1694005034
229,el calafate,-50.3408,-72.2768,-0.23,95,100,1.03,AR,1694004936
230,ceeldheer,3.8488,47.1806,28.69,65,30,11.53,SO,1694005035
231,riverstone,-33.6833,150.8667,16.87,83,11,0.0,AU,1694005035
232,port alfred,-33.5906,26.891,17.32,63,0,4.02,ZA,1694005035
233,port macquarie,-31.4333,152.9167,11.05,84,0,3.85,AU,1694004955
234,ponta delgada,37.7333,-25.6667,22.4,78,40,7.2,PT,1694005035
235,tinajo,29.0788,-13.7081,24.49,78,20,4.63,ES,1694005035
236,labytnangi,66.6572,66.4183,16.39,50,32,3.18,RU,1694005035
237,olonkinbyen,70.9221,-8.7187,6.66,96,86,7.01,SJ,1694005035
238,limache,-33.0167,-71.2667,14.52,84,100,0.62,CL,1694005035
239,montebelluna,45.778,12.0487,29.7,39,0,3.09,IT,1694005035
240,fort bragg,35.139,-79.006,27.68,84,0,1.34,US,1694005036
241,salumbar,24.1333,74.05,29.61,66,98,3.78,IN,1694005036
242,miandrivazo,-19.5167,45.4667,34.32,22,11,3.69,MG,1694005036
243,shingu,33.7333,135.9833,24.88,91,59,1.91,JP,1694005036
244,colonia,50.9333,6.95,31.06,40,0,3.6,DE,1694004912
245,mount isa,-20.7333,139.5,18.87,45,40,2.06,AU,1694005036
246,jaru,-10.4389,-62.4664,33.48,30,13,1.77,BR,1694005036
247,yung shue wan,22.2333,114.1167,29.82,80,100,3.17,HK,1694005037
248,rafraf,37.1904,10.1837,29.18,65,0,8.59,TN,1694005037
249,papar,5.7333,115.9333,26.0,95,88,1.24,MY,1694005037
250,natal,-5.795,-35.2094,28.36,69,75,7.2,BR,1694005037
251,tsiombe,-25.3,45.4833,25.85,41,0,6.67,MG,1694005037
252,pamandzi,-12.7967,45.2794,28.88,65,0,4.12,YT,1694005037
253,kajiado,-1.8524,36.7768,27.42,29,100,2.69,KE,1694005037
254,san luis de la loma,17.2706,-100.8939,24.51,84,39,1.94,MX,1694005037
255,alice springs,-23.7,133.8833,16.75,36,33,0.0,AU,1694005038
256,leua,48.2156,18.6071,28.61,34,0,0.97,SK,1694005038
257,varkaus,62.3153,27.873,15.73,48,55,5.09,FI,1694005038
258,khorugh,37.4897,71.553,21.53,17,0,3.67,TJ,1694005038
259,inari,68.906,27.0288,13.11,70,100,6.93,FI,1694005038
260,cooper's town,26.8667,-77.5167,27.01,62,84,2.69,BS,1694005038
261,leava,-14.3,-178.1667,26.96,72,100,9.12,WF,1694005038
262,skelleftea,64.7507,20.9528,17.78,61,0,5.14,SE,1694005038
263,cabo san lucas,22.8909,-109.9124,29.86,71,11,0.38,MX,1694004704
264,mostaganem,35.9311,0.0892,26.0,70,100,4.2,DZ,1694005038
265,corner brook,48.9667,-57.9484,18.09,84,98,2.04,CA,1694005039
266,college,64.8569,-147.8028,8.99,93,100,2.06,US,1694005039
267,den burg,53.0542,4.7972,29.98,65,3,3.09,NL,1694005039
268,topi,34.0704,72.6236,32.68,44,0,0.93,PK,1694005039
269,hukeri,16.2333,74.6,27.78,71,78,6.21,IN,1694005039
270,bafoulabe,13.8065,-10.8321,30.75,64,69,2.41,ML,1694005039
271,susuman,62.7833,148.1667,6.9,69,100,1.7,RU,1694005039
272,nogliki,51.8333,143.1667,10.46,85,8,2.28,RU,1694005039
273,midvagur,62.0511,-7.1939,13.46,94,100,4.63,FO,1694005040
274,machali,-34.1833,-70.6667,12.07,93,100,4.12,CL,1694005040
275,port shepstone,-30.7414,30.455,17.91,48,0,3.91,ZA,1694005040
276,tura,25.5198,90.2201,25.94,87,100,1.44,IN,1694005040
277,hithadhoo,-0.6,73.0833,28.36,74,100,4.68,MV,1694005040
278,broome,42.2506,-75.833,23.71,89,0,1.54,US,1694005040
279,amursk,50.2261,136.8994,11.88,84,22,2.86,RU,1694005040
280,pocahontas,36.2615,-90.9712,21.14,97,75,3.6,US,1694005040
281,bahia de kino,28.8333,-111.9333,29.61,53,2,0.8,MX,1694005040
282,kyabram,-36.3167,145.05,8.45,76,14,4.87,AU,1694005041
283,puerto carreno,6.189,-67.4859,26.99,89,20,0.0,CO,1694005041
284,luau,-10.7073,22.2247,35.16,21,51,2.06,AO,1694005041
285,saint-philippe,-21.3585,55.7679,23.77,73,81,1.14,RE,1694004880
286,sitka,57.0531,-135.33,9.94,87,0,2.06,US,1694005041
287,cicero dantas,-10.6,-38.3833,28.41,38,1,4.37,BR,1694005041
288,ulverstone,-41.15,146.1667,11.51,94,75,3.16,AU,1694005041
289,fuglafjordur,62.244,-6.814,13.26,97,100,6.32,FO,1694005041
290,taunggyi,20.7833,97.0333,18.57,97,98,1.25,MM,1694005023
291,buka,40.8108,69.1986,28.34,17,1,4.61,UZ,1694005041
292,vallenar,-28.5708,-70.7581,19.42,37,100,0.73,CL,1694005042
293,gadzhiyevo,69.2551,33.3362,11.22,65,62,9.89,RU,1694005042
294,tamandare,-8.7597,-35.1047,26.8,66,19,6.01,BR,1694005042
295,igarka,67.4667,86.5833,8.35,58,9,3.08,RU,1694005042
296,pleasanton,37.6624,-121.8747,16.18,86,0,2.68,US,1694004972
297,tarariras,-34.2833,-57.6167,7.31,56,100,7.32,UY,1694005042
298,bousse,12.6606,-1.8922,33.17,48,28,4.6,BF,1694005042
299,jagraon,30.7833,75.4833,35.15,36,0,5.37,IN,1694005042
300,hovd,48.0056,91.6419,16.7,22,49,6.36,MN,1694005042
301,argo,37.6333,22.7333,20.99,76,100,1.06,GR,1694005043
302,calvinia,-31.4707,19.776,16.77,17,0,4.52,ZA,1694005043
303,kratie,12.4881,106.0188,25.42,93,100,0.88,KH,1694005043
304,tindouf,27.6711,-8.1474,37.25,18,0,3.09,DZ,1694005043
305,banjarmasin,-3.3244,114.591,27.08,75,100,2.64,ID,1694005043
306,isafjordur,66.0755,-23.124,13.02,76,100,7.2,IS,1694005043
307,belozersk,60.0326,37.7957,13.09,61,98,8.45,RU,1694005043
308,cardoso,-20.0819,-49.9142,23.89,66,100,4.76,BR,1694005043
309,pimenta bueno,-11.6725,-61.1936,32.02,37,92,1.46,BR,1694005043
310,aykhal,66.0,111.5,-2.28,83,89,3.34,RU,1694004774
311,pasni,25.2631,63.471,27.16,82,0,4.78,PK,1694005044
312,san patricio,28.017,-97.5169,29.91,79,0,1.72,US,1694005044
313,danshui,22.7984,114.4672,26.25,91,100,1.19,CN,1694005044
314,holualoa,19.6228,-155.9522,23.91,86,20,2.68,US,1694005044
315,yarmouth,41.7057,-70.2286,26.03,87,0,5.14,US,1694005044
316,debark',13.1561,37.8981,14.33,80,94,2.17,ET,1694005044
317,boende,-0.2167,20.8667,33.13,43,98,0.35,CD,1694005044
318,richards bay,-28.783,32.0377,20.61,48,18,3.93,ZA,1694004978
319,yatou,37.15,122.3833,20.64,89,0,2.39,CN,1694005044
320,isoka,-10.1606,32.6335,32.81,19,21,2.45,ZM,1694005044
321,luganville,-15.5333,167.1667,24.65,84,100,7.25,VU,1694005045
322,benjamin hill,30.1667,-111.1,24.19,41,4,1.86,MX,1694005045
323,papao,-17.75,-149.55,24.82,87,69,10.5,PF,1694005045
324,yangambi,0.8102,24.4336,34.6,34,99,1.3,CD,1694005045
325,wotho,10.1657,166.0102,28.38,75,100,5.03,MH,1694005045
326,choix,26.7092,-108.3219,24.13,78,6,1.63,MX,1694005045
327,bhamo,24.2667,97.2333,26.23,94,92,0.87,MM,1694005045
328,palmer,42.1584,-72.3287,26.8,87,0,1.86,US,1694004834
329,nguigmi,14.2495,13.1092,33.57,38,63,2.22,NE,1694005046
330,palmas de monte alto,-14.2672,-43.1619,28.05,40,0,4.82,BR,1694005046
331,fort st. john,56.2499,-120.8529,3.94,93,75,2.06,CA,1694004991
332,brindisi,40.5833,17.6667,29.13,46,98,6.0,IT,1694005046
333,makokou,0.5738,12.8642,28.19,69,100,0.91,GA,1694005046
